Nome,Vizinho,Logradouro,Tipo,Tipo Normalizado,Peso
Boa Vista,Espinheiro,Rua Rosário da Boa Vista,residential,Rua local / de bairro,2
Boa Vista,Graças,Avenida Manoel Borba,secondary,Avenida secundária,1.5
Boa Vista,Santo Amaro,Rua da Soledade,tertiary,Rua de ligação / Coletora local,1.8
Boa Vista,Coelhos,Rua Gervásio Pires,tertiary,Rua de ligação / Coletora local,1.8
Boa Vista,Derby,Avenida Conde da Boa Vista,secondary,Avenida secundária,1.5
Boa Vista,Ilha do Leite,Rua Barão de São Borja,tertiary,Rua de ligação / Coletora local,1.8
Boa Vista,Paissandu,Rua Joaquim de Brito,secondary,Avenida secundária,1.5
Boa Vista,Santo Antônio,Rua Doutor José Mariano,secondary,Avenida secundária,1.5
Boa Vista,Soledade,,,,
Boa Viagem,Jordão,Rua Ribeiro de Brito,primary,Avenida Principal,1.2
Boa Viagem,Pina,Avenida Hélio Falcão,residential,Rua local / de bairro,2
Boa Viagem,Ibura,Viaduto Tacredo Neves,primary,Avenida Principal,1.2
Boa Viagem,Imbiribeira,Avenida Marechal Mascarenhas de Moraes,trunk,Via arterial / Rodovia urbana,1
Beberibe,Linha do Tiro,Rua Taguatinga,tertiary,Rua de ligação / Coletora local,1.8
Beberibe,Porto da Madeira,Quinta Travessa Aníbal Benévolo,tertiary,Rua de ligação / Coletora local,1.8
Beberibe,Água Fria,Avenida Aníbal Benévolo,tertiary,Rua de ligação / Coletora local,1.8
Beberibe,Dois Unidos,Rua Uriel de Holanda,secondary,Avenida secundária,1.5
Barro,Cohab,Avenida Doutor José Rufino,primary,Avenida Principal,1.2
Barro,Tejipió,,,,
Barro,Areias,Rua Dorothéia Vieira,residential,Rua local / de bairro,2
Barro,Ibura,Travessa Doutor Jose Rufino,Acesso à via arterial,Via arterial / Rodovia urbana,Acesso à via arterial
Barro,Jardim São Paulo,Rua Major Chagas de Oliveira,residential,Rua local / de bairro,2
Bairro do Recife,Santo Amaro,Rua Álvares Cabral,residential,Rua local / de bairro,2
Bairro do Recife,Santo Antônio,Rua Madre de Deus,secondary,Avenida secundária,1.5
Bairro do Recife,Campo Grande,Rua Mariz e Barros,residential,Rua local / de bairro,2
Arruda,Ponto de Parada,,,,
Arruda,Rosarinho,Rua Salvador de Sá,tertiary,Rua de ligação / Coletora local,1.8
Arruda,Tamarineira,Rua General Abreu e Lima,tertiary,Rua de ligação / Coletora local,1.8
Arruda,Campo Grande,Rua do Machado,residential,Rua local / de bairro,2
Arruda,Peixinhos,Rua Zeferino Agra,residential,Rua local / de bairro,2
Arruda,Bomba do Hemetério,Rua Ramiz Galvão,residential,Rua local / de bairro,2
Arruda,Campina do Barreto,Rua Coronel Urbano Ribeiro de Sena,tertiary,Rua de ligação / Coletora local,1.8
Arruda,Mangabeira,Rua Raul Pompéia,residential,Rua local / de bairro,2
Arruda,Água Fria,Rua Bom Conselho,residential,Rua local / de bairro,2
Areias,Barro,Avenida Recife,Avenida principal,Avenida Principal,Avenida principal
Areias,Caçote,Avenida Tapajós,residential,Rua local / de bairro,2
Areias,Ibura,Avenida Dom Hélder Câmara,secondary,Avenida secundária,1.5
Areias,Imbiribeira,Rua Pintor Antônio Albuquerque,secondary,Avenida secundária,1.5
Areias,Ipsep,Rua Doutor Raposo Pinto,residential,Rua local / de bairro,2
Areias,Estância,Rua Peroba,residential,Rua local / de bairro,2
Areias,Jardim São Paulo,Rua Senador Alberto Pasqualini,tertiary,Rua de ligação / Coletora local,1.8
Areias,Jiquiá,Rua Mearim,residential,Rua local / de bairro,2
Apipucos,Caxangá,Rua Jorge Tasso Neto,residential,Rua local / de bairro,2
Apipucos,Alto do Mandu,Rua Dois Irmãos,secondary,Avenida secundária,1.5
Apipucos,Iputinga,Rua Maria de Fátima Soares,tertiary,Rua de ligação / Coletora local,1.8
Apipucos,Monteiro,,,,
Apipucos,Córrego do Jenipapo,Rua Caetés,residential,Rua local / de bairro,2
Apipucos,Macaxeira,Rua Coronel João Batista do Rego Barros,tertiary,Rua de ligação / Coletora local,1.8
Apipucos,Dois Irmãos,Rua Manuel de Medeiros,secondary,Avenida secundária,1.5
Alto Santa Teresinha,Alto José do Pinho,Rua Aurea,residential,Rua local / de bairro,2
Alto Santa Teresinha,Bomba do Hemetério,Rua Andricora,residential,Rua local / de bairro,2
Alto Santa Teresinha,Linha do Tiro,Rua Professor José Amarino dos Reis,residential,Rua local / de bairro,2
Alto Santa Teresinha,Água Fria,Rua Ampére,residential,Rua local / de bairro,2
Alto Santa Teresinha,Alto José Bonifácio,Rua Jales,residential,Rua local / de bairro,2
Alto José do Pinho,Casa Amarela,Rua Ori,residential,Rua local / de bairro,2
Alto José do Pinho,Morro da Conceição,Rua Maragogi,tertiary,Rua de ligação / Coletora local,1.8
Alto José do Pinho,Bomba do Hemetério,Rua Horácio Silva,residential,Rua local / de bairro,2
Alto José do Pinho,Mangabeira,Rua Severino Bernardino Pereira,residential,Rua local / de bairro,2
Alto José do Pinho,Alto Santa Teresinha,Rua do Rio,residential,Rua local / de bairro,2
Alto José do Pinho,Alto José Bonifácio,Rua Valeriano Lobo,tertiary,Rua de ligação / Coletora local,1.8
Alto José Bonifácio,Alto José do Pinho,Rua São Domingos Sávio,residential,Rua local / de bairro,2
Alto José Bonifácio,Morro da Conceição,Rua Córrego do Euclides,secondary,Avenida secundária,1.5
Alto José Bonifácio,Linha do Tiro,Rua Tejipio,residential,Rua local / de bairro,2
Alto José Bonifácio,Alto Santa Teresinha,Rua Alto da Serrinha,residential,Rua local / de bairro,2
Alto José Bonifácio,Vasco da Gama,Rua Gustavo Barrozo,residential,Rua local / de bairro,2
Alto José Bonifácio,Brejo de Beberibe,Rua Doutor Benevenuto Teles Neto,residential,Rua local / de bairro,2
Alto do Mandu,Casa Amarela,Rua Eliete Aguiar,residential,Rua local / de bairro,2
Alto do Mandu,Monteiro,Rua Humaitá,residential,Rua local / de bairro,2
Alto do Mandu,Macaxeira,Rua Cianorte,residential,Rua local / de bairro,2
Alto do Mandu,Nova Descoberta,Rua Mandacaru,tertiary,Rua de ligação / Coletora local,1.8
Alto do Mandu,Apipucos,Rua Fernão Velho,residential,Rua local / de bairro,2
Aldeia,Pau-Ferro,Estrada do Orfanato,residential,Rua local / de bairro,2
Aldeia,Oitenta,Rua José Rufino,tertiary,Rua de ligação / Coletora local,1.8
Água Fria,Arruda,Rua Luiz Cerqueira,residential,Rua local / de bairro,2
Água Fria,Beberibe,Rua da Cutia,residential,Rua local / de bairro,2
Água Fria,Bomba do Hemetério,Rua São Sebastião,residential,Rua local / de bairro,2
Água Fria,Campina do Barreto,Rua José Souza,tertiary,Rua de ligação / Coletora local,1.8
Água Fria,Fundão,,,,
Água Fria,Linha do Tiro,Rua Professor Adalberto Neves,residential,Rua local / de bairro,2
Água Fria,Porto da Madeira,Rua Conselheiro Barros Barreto,residential,Rua local / de bairro,2
Água Fria,Alto Santa Teresinha,Rua Egas Muniz,residential,Rua local / de bairro,2
Afogados,Joana Bezerra,Rua Ursulino Pinto de Carvalho,residential,Rua local / de bairro,2
Afogados,Bongi,Rua Doutor Adelino,secondary,Avenida secundária,1.5
Afogados,Ilha do Retiro,Rua Manuel Batista de Azevedo,residential,Rua local / de bairro,2
Afogados,Mangueira,Rua Cosme Viana,primary,Avenida Principal,1.2
Afogados,Mustardinha,Rua Vinte e Um de Abril,primary,Avenida Principal,1.2
Afogados,Prado,Estrada dos Remédios,primary,Avenida Principal,1.2
Afogados,Pina,Praça da Paz,primary,Avenida Principal,1.2
Afogados,Imbiribeira,Rua Itatiuba,residential,Rua local / de bairro,2
Afogados,Jiquiá,Rua Visconde de Inhaúma,residential,Rua local / de bairro,2
Aflitos,Encruzilhada,Rua Teles Júnior,tertiary,Rua de ligação / Coletora local,1.8
Aflitos,Espinheiro,Rua Gomes de Matos Júnior,residential,Rua local / de bairro,2
Aflitos,Graças,Rua Samuel Campelo,tertiary,Rua de ligação / Coletora local,1.8
